polarity,final_messages
0,Why do u say that Kat
0,Hey Lizzie what’s ur most played song on Spotify this week
0,Haha drivers license for me too but most recently Dangerously in Love by Beyoncé
0,Frank is always on repeat tho
0,Aw thank youuu I see u like Frank too what is your favorite song/album?
0,Blonde 🙏🙏 I would choose blonde too haha but it always changes for me! I’ve been on Godspeed for a while but tbh u can’t choose a wrong song
0,"Frank was at the top of my Spotify wrapped, I was v proud"
0,Ooo lemme give you my top 5
0,"Frank, SZA, Harry Styles, Rex Orange County, Giveon"
0,Ooo fair fair. This last month my most listened to artist is actually Whitney Houston haha
0,I need to listen to LANY tho
1,This is both a compliment but also makes me question my entire life
1,"🙈 haha long time, whatchu been up to"
1,"🙈 haha long time, whatchu been up to"
1,"🙈 haha long time, whatchu been up to"
1,"🙈 haha long time, whatchu been up to"
1,"🙈 haha long time, whatchu been up to"
1,What’s up Jenaya what’s your last played song on Spotify
0,Oh damn those hours hahaha it’s my most recent liked song
1,Food ✅ call her pretty ✅ seems reasonable
0,"6’2, unfortunately not 6’4 but a man can dream right"
0,"How tall are you? Remember, No bs"
0,"With a little bit of stretching I think I can reach that, might just take some more practice haha"
1,Hmm my guess is 4’11 with 6’11 energy
0,Hmm okay fair fair I was just a bit off. Alright my turn
1,NUT 😩
1,Two matches for one swipe? Black Friday deals came early
0,I do indeed have an ass tat 😭
0,Hey haha how are you?
0,I’m chillin just stuck at home like everyone else lol. V boring
0,I’m about to graduate in marketing and information systems haha so a good balance between people and numbers. Wbu??
1,I fucking know Alyssa tryna link
0,Brownies are my love language
0,Those are a special typa brownie
0,Middle hits all of the right spots but if I get the right type of corner it HITS DIFFERENT
0,So more times than not a middle piece but a corner can go above and beyond
0,More times than not
1,U absolutely right Lindsey
0,Yeah that’s me hahahaha the young Kanye
0,What happened?!? Haha
1,That’s too nice I could say the same for u 👀
1,Hey Jennie you tryna link?
0,How are you Itzel
0,How are you
0,Damn Graham
1,You tryna link
0,Ah the important parts
1,Hey avisha you tryna link?
0,Hey what’s up haha you vote yet?
0,Just voted today!  FDT lmao fingers crossed for Nov 3
0,I gotchu haha
1,U tryna link?
1,Natalie Natalie Natalie
1,U tryna link?
0,Hey how’s it going
0,Been doing good so far
1,U tryna meet up?
0,Ofc haha
1,U tryna link?
0,I have OCD!
0,Fun fact lmao
1,U tryna meet up?
1,No winter relationship but we can be 10/10 buddies
1,U tryna link?
1,Seattle but with a bunch of ppl u alone?
